Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
FMC,FMC,NYSE,Materials,Fertilizers & Agricultural Chemicals,Philadelphia,Pennsylvania,"6,400",1883,15.04,121.38,104.91,115.55,140.99,87.27,786
UDR,UDR,NYSE,Real Estate,Residential REITs,Highlands Ranch,Colorado,"1,219",1972,14.83,46.28,56.71,47.05,61.06,45.62,"1,829"
NetApp,NTAP,Nasdaq,Information Technology,"Technology Hardware, Storage & Peripherals",Sunnyvale,California,"11,000",1992,14.83,68.26,86.76,78.21,96.82,64.58,"2,070"
CarMax,KMX,NYSE,Consumer Discretionary,Specialty Stores,Richmond,Virginia,"32,647",1993,14.81,90.80,146.32,113.37,155.98,85.36,"1,817"
Carnival,CCL,NYSE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,"39,000",1972,14.81,13.58,20.15,28.58,31.52,12.70,"41,410"
Camden,CPT,NYSE,Real Estate,Residential REITs,Houston,Texas,"1,700",1981,14.77,138.00,167.58,125.30,180.37,120.65,617
Alliant Energy,LNT,Nasdaq,Utilities,Electric Utilities,Madison,Wisconsin,"3,313",1917,14.72,58.50,57.86,57.60,65.37,54.46,"1,807"
Xylem,XYL,NYSE,Industrials,Industrial Machinery,White Plains,New York,"17,300",2011,14.71,81.95,126.57,116.77,138.78,79.62,817
MGM Resorts,MGM,NYSE,Consumer Discretionary,Casinos & Gaming,Paradise,Nevada,"42,000",1986,14.64,33.65,42.51,42.21,51.17,32.37,"8,361"
Darden,DRI,NYSE,Consumer Discretionary,Restaurants,Orlando,Florida,"156,883",1938,14.50,116.67,148.40,140.43,164.28,113.54,933
Iron Mountain,IRM,NYSE,Real Estate,Specialized REITs,Boston,Massachusetts,"26,750",1951,14.38,48.63,46.85,43.22,58.61,41.67,"1,416"
Bio-Techne,TECH,Nasdaq,Health Care,Life Sciences Tools & Services,Minneapolis,Minnesota,"2,600",1976,14.37,366.44,472.72,420.15,543.85,335.02,270
Viatris,VTRS,Nasdaq,Health Care,Pharmaceuticals,Pittsburgh,Pennsylvania,"37,000",1961,14.31,11.69,13.16,14.98,15.92,9.66,"9,531"
United Airlines,UAL,Nasdaq,Industrials,Airlines,Chicago,Illinois,"87,400",1967,14.23,44.21,46.70,56.98,60.59,30.54,"10,144"
SolarEdge,SEDG,Nasdaq,Information Technology,Semiconductor Equipment,Herzliya,Israel,"3,964",2006,14.22,252.18,350.02,251.75,389.71,200.86,723
Tyler Technologies,TYL,NYSE,Information Technology,Application Software,Plano,Texas,"6,959",1966,14.17,340.29,517.72,404.12,557.55,327.97,252
Royal Caribbean Group,RCL,NYSE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,"85,000",1997,14.13,57.43,78.84,89.00,98.27,53.58,"3,407"
NortonLifeLock,NLOK,Nasdaq,Information Technology,Application Software,Tempe,Arizona,"2,808",1982,14.11,23.76,24.75,27.23,30.92,23.47,"5,094"
IDEX,IEX,NYSE,Industrials,Industrial Machinery,Lake Forest,Illinois,"7,536",1988,14.10,183.19,236.37,221.52,240.33,179.30,410
Generac,GNRC,NYSE,Industrials,Electrical Components & Equipment,Waukesha,Wisconsin,"8,955",1959,14.10,223.69,432.83,312.90,524.31,197.94,"1,103"
APA Corporation,APA,Nasdaq,Energy,Oil & Gas Exploration & Production,Houston,Texas,"2,253",1954,14.09,40.82,28.47,19.94,45.27,15.55,"8,511"
"NVR, Inc.",NVR,NYSE,Consumer Discretionary,Homebuilding,Reston,Virginia,"6,600",1980,14.02,"4,155.68","5,320.00","4,836.36","5,982.45","4,087.17",19
Packaging Corporation of America,PKG,NYSE,Materials,Paper Packaging,Lake Forest,Illinois,"15,200",1959,13.97,150.49,134.70,149.19,168.50,124.78,537
Campbell's,CPB,NYSE,Consumer Staples,Packaged Foods & Meats,Camden,New Jersey,"14,100",1869,13.89,46.06,41.51,48.41,51.94,39.76,"2,286"
Howmet Aerospace,HWM,NYSE,Industrials,Aerospace & Defense,Pittsburgh,Pennsylvania,"19,900",2016,13.86,33.45,30.78,33.77,37.66,27.41,"2,246"
FactSet,FDS,NYSE,Financials,Financial Exchanges & Data,Norwalk,Connecticut,"10,784",1978,13.82,360.42,465.01,329.73,495.40,319.65,277
Leidos,LDOS,NYSE,Industrials,Diversified Support Services,Reston,Virginia,"43,000",1969,13.75,101.52,93.29,102.36,111.12,81.07,584
AES,AES,NYSE,Utilities,Independent Power Producers & Energy Traders,Arlington,Virginia,"8,450",1981,13.71,20.67,24.61,25.34,27.00,19.14,"3,943"
LKQ Corporation,LKQ,Nasdaq,Consumer Discretionary,Distributors,Chicago,Illinois,"46,000",1998,13.68,49.73,59.62,50.02,60.43,42.36,"2,021"
Kimco Realty,KIM,NYSE,Real Estate,Retail REITs,New Hyde Park,New York,606,1958,13.60,22.57,24.18,20.53,26.57,19.54,"4,078"
Smucker,SJM,NYSE,Consumer Staples,Packaged Foods & Meats,Orrville,Ohio,"7,100",1897,13.59,126.36,133.63,135.29,146.74,118.55,"1,519"
Teleflex,TFX,NYSE,Health Care,Health Care Equipment,Wayne,Pennsylvania,"14,000",1943,13.47,288.69,315.29,405.59,428.36,256.77,346
Take-Two Interactive,TTWO,Nasdaq,Communication Services,Interactive Home Entertainment,New York City,New York,"7,799",1993,13.45,119.76,165.13,184.62,195.83,101.85,"7,574"
Avery Dennison,AVY,NYSE,Materials,Paper Packaging,Glendale,California,"36,000",1990,13.44,167.82,221.45,216.97,229.24,156.51,511
Textron,TXT,NYSE,Industrials,Aerospace & Defense,Providence,Rhode Island,"33,000",1923,13.44,62.76,76.09,66.89,79.45,60.36,"1,301"
Host Hotels & Resorts,HST,Nasdaq,Real Estate,Hotel & Resort REITs,Bethesda,Maryland,160,1993,13.30,19.45,17.45,16.79,21.63,14.67,"8,873"
PTC,PTC,Nasdaq,Information Technology,Application Software,Boston,Massachusetts,"6,709",1985,13.27,109.51,109.72,133.03,153.73,96.55,469
Eastman,EMN,NYSE,Materials,Diversified Chemicals,Kingsport,Tennessee,"14,000",1920,13.14,103.19,116.69,123.78,130.47,98.24,786
Jack Henry & Associates,JKHY,Nasdaq,Information Technology,Data Processing & Outsourced Services,Monett,Missouri,"6,714",1976,13.05,178.12,153.04,156.41,205.37,147.50,392
C.H. Robinson,CHRW,Nasdaq,Industrials,Air Freight & Logistics,Eden Prairie,Minnesota,"17,258",1905,12.97,101.19,97.77,96.14,112.15,84.67,746
Franklin Templeton,BEN,NYSE,Financials,Asset Management & Custody Banks,San Mateo,California,"9,500",1947,12.90,25.11,34.69,33.08,38.27,23.63,"2,507"
Masco,MAS,NYSE,Industrials,Building Products,Livonia,Michigan,"20,000",1929,12.81,53.98,68.22,61.05,71.06,48.78,"2,126"
Citrix,CTXS,Nasdaq,Information Technology,Application Software,Fort Lauderdale,Florida,"9,700",1989,12.57,99.46,84.01,115.23,121.87,78.07,"1,318"
Domino's,DPZ,NYSE,Consumer Discretionary,Restaurants,Ann Arbor,Michigan,"13,500",1960,12.32,336.43,531.91,421.04,567.57,321.15,472
NiSource,NI,NYSE,Utilities,Multi-Utilities,Merrillville,Indiana,"7,272",1912,12.29,30.31,25.54,25.33,32.59,23.65,"5,240"
